Descrição,1T2024,AH,AV,3T2023,AH,AV,2T2023,AH,AV,1T2023,AH,AV,4T2022,AH,AV,3T2022,AH,AV,2T2022,AH,AV,1T2022,AV
,,,,,,,,,,,,,,,,,,,,,,,
Receita Líquida - (R$),"117.721,00 M","-5,69%","100,00%","124.828,00 M","9,65%","100,00%","113.840,00 M","-18,14%","100,00%","139.068,00 M","-12,30%","100,00%","158.579,00 M","-6,76%","100,00%","170.076,00 M","-0,52%","100,00%","170.960,00 M","20,70%","100,00%","141.641,00 M","100,00%"
Custos - (R$),"-57.020,00 M","-2,55%","-48,44%","-58.513,00 M","4,19%","-46,87%","-56.159,00 M","-14,60%","-49,33%","-65.757,00 M","-19,75%","-47,28%","-81.942,00 M","-1,56%","-51,67%","-83.240,00 M","10,84%","-48,94%","-75.099,00 M","12,30%","-43,93%","-66.875,00 M","-47,21%"
Lucro Bruto - (R$),"60.701,00 M","-8,47%","51,56%","66.315,00 M","14,97%","53,13%","57.681,00 M","-21,32%","50,67%","73.311,00 M","-4,34%","52,72%","76.637,00 M","-11,75%","48,33%","86.836,00 M","-9,41%","51,06%","95.861,00 M","28,21%","56,07%","74.766,00 M","52,79%"
Despesas/Receitas Operacionais - (R$),"-16.674,00 M","11,16%","-14,16%","-18.769,00 M","-19,47%","-15,04%","-15.710,00 M","-19,80%","-13,80%","-13.114,00 M","30,34%","-9,43%","-18.826,00 M","-54,01%","-11,87%","-12.224,00 M","-2.233,33%","-7,19%","573,00 M","106,12%","0,34%","-9.368,00 M","-6,61%"
EBITDA - (R$),"60.675,00 M","-5,93%","51,54%","64.501,00 M","11,11%","51,67%","58.053,00 M","-22,99%","51,00%","75.383,00 M","0,15%","54,21%","75.270,00 M","-17,97%","47,47%","91.755,00 M","-19,11%","53,95%","113.430,00 M","38,33%","66,35%","82.002,00 M","57,89%"
Amortização/Depreciação,"-16.648,00 M","-1,81%","-14,14%","-16.955,00 M","5,43%","-13,58%","-16.082,00 M","5,90%","-14,13%","-15.186,00 M","-13,02%","-10,92%","-17.459,00 M","1,84%","-11,01%","-17.143,00 M","0,86%","-10,08%","-16.996,00 M","2,36%","-9,94%","-16.604,00 M","-11,72%"
EBIT - (R$),"44.027,00 M","-7,40%","37,40%","47.546,00 M","13,28%","38,09%","41.971,00 M","-30,28%","36,87%","60.197,00 M","4,13%","43,29%","57.811,00 M","-22,52%","36,46%","74.612,00 M","-22,63%","43,87%","96.434,00 M","47,46%","56,41%","65.398,00 M","46,17%"
Resultado não operacional - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Resultado Financeiro - (R$),"-9.579,00 M","1,85%","-8,14%","-9.760,00 M","-3.528,25%","-7,82%","-269,00 M","91,59%","-0,24%","-3.200,00 M","-314,77%","-2,30%","1.490,00 M","118,69%","0,94%","-7.973,00 M","49,40%","-4,69%","-15.757,00 M","-628,23%","-9,22%","2.983,00 M","2,11%"
Impostos - (R$),"-10.638,00 M","-3,52%","-9,04%","-11.026,00 M","-13,63%","-8,83%","-12.766,00 M","-31,70%","-11,21%","-18.690,00 M","18,30%","-13,44%","-15.799,00 M","-22,57%","-9,96%","-20.403,00 M","-22,11%","-12,00%","-26.193,00 M","11,00%","-15,32%","-23.598,00 M","-16,66%"
Lucro Líquido - (R$),"23.810,00 M","-11,02%","20,23%","26.760,00 M","-7,52%","21,44%","28.936,00 M","-24,46%","25,42%","38.307,00 M","-11,94%","27,55%","43.502,00 M","-5,91%","27,43%","46.236,00 M","-15,14%","27,19%","54.484,00 M","21,66%","31,87%","44.783,00 M","31,62%"
Lucro atribuído a Controladora,"23.700,00 M","-10,99%",-,"26.625,00 M","-7,49%",-,"28.782,00 M","-24,57%",-,"38.156,00 M","-11,96%",-,"43.341,00 M","-5,98%",-,"46.096,00 M","-15,16%",-,"54.330,00 M","21,92%",-,"44.561,00 M",-
Lucro atribuído a Não Controladores,"110,00 M","-18,52%",-,"135,00 M","-12,34%",-,"154,00 M","1,99%",-,"151,00 M","-6,21%",-,"161,00 M","15,00%",-,"140,00 M","-9,09%",-,"154,00 M","-30,63%",-,"222,00 M",-
CAPEX - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Dívida Bruta - (R$),"308.955,00 M","1,15%",-,"305.451,00 M","9,33%",-,"279.375,00 M","3,08%",-,"271.031,00 M","-3,45%",-,"280.703,00 M","-4,33%",-,"293.403,00 M","4,55%",-,"280.637,00 M","1,16%",-,"277.418,00 M",-
Dívida Líquida - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
ROE - (%),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
ROIC - (%),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Margem Bruta - (%),"51,56%","-2,96%",-,"53,13%","4,85%",-,"50,67%","-3,89%",-,"52,72%","9,08%",-,"48,33%","-5,35%",-,"51,06%","-8,94%",-,"56,07%","6,21%",-,"52,79%",-
Margem Ebitda - (%),"51,54%","-0,25%",-,"51,67%","1,31%",-,"51,00%","-5,92%",-,"54,21%","14,20%",-,"47,47%","-12,01%",-,"53,95%","-18,69%",-,"66,35%","14,61%",-,"57,89%",-
Margem Líquida - (%),"20,23%","-5,64%",-,"21,44%","-15,66%",-,"25,42%","-7,73%",-,"27,55%","0,44%",-,"27,43%","0,88%",-,"27,19%","-14,68%",-,"31,87%","0,79%",-,"31,62%",-
Dívida Líquida/Ebitda,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
