Descrição,1T2024,AH,AV,4T2023,AH,AV,3T2023,AH,AV,2T2023,AH,AV,1T2023,AH,AV,4T2022,AH,AV,3T2022,AH,AV,2T2022,AH,AV,1T2022,AV
,,,,,,,,,,,,,,,,,,,,,,,,,,
Receita Líquida - (R$),"41.891,00 M","-35,06%","100,00%","64.505,00 M","24,14%","100,00%","51.962,00 M","8,80%","100,00%","47.758,00 M","8,93%","100,00%","43.841,00 M","-30,12%","100,00%","62.735,00 M","20,46%","100,00%","52.080,00 M","-5,26%","100,00%","54.974,00 M","-3,08%","100,00%","56.719,00 M","100,00%"
Custos - (R$),"-26.594,00 M","-21,98%","-63,48%","-34.085,00 M","10,48%","-52,84%","-30.851,00 M","5,09%","-59,37%","-29.356,00 M","14,12%","-61,47%","-25.724,00 M","-112,20%","-58,68%","210.789,00 M","737,92%","336,00%","-33.043,00 M","12,48%","-63,45%","-29.377,00 M","21,52%","-53,44%","-24.174,00 M","-42,62%"
Lucro Bruto - (R$),"15.297,00 M","-49,71%","36,52%","30.420,00 M","44,10%","47,16%","21.111,00 M","14,72%","40,63%","18.402,00 M","1,57%","38,53%","18.117,00 M","-27,92%","41,32%","25.134,00 M","32,03%","40,06%","19.037,00 M","-25,63%","36,55%","25.597,00 M","-21,35%","46,56%","32.545,00 M","57,38%"
Despesas/Receitas Operacionais - (R$),"-2.571,00 M","75,57%","-6,14%","-10.526,00 M","-128,23%","-16,32%","-4.612,00 M","-9,97%","-8,88%","-4.194,00 M","-21,71%","-8,78%","-3.446,00 M","46,27%","-7,86%","-6.414,00 M","-69,01%","-10,22%","-3.795,00 M","20,14%","-7,29%","-4.752,00 M","-259,78%","-8,64%","2.974,00 M","5,24%"
EBITDA - (R$),"16.266,00 M","-32,57%","38,83%","24.122,00 M","21,53%","37,40%","19.848,00 M","8,38%","38,20%","18.314,00 M","1,29%","38,35%","18.080,00 M","-21,65%","41,24%","23.076,00 M","22,03%","36,78%","18.910,00 M","-44,07%","36,31%","33.812,00 M","-13,56%","61,51%","39.116,00 M","68,96%"
Amortização/Depreciação,"-3.540,00 M",-,"-8,45%",-,,"0,00%","-3.812,00 M","-1,01%","-7,34%","-3.851,00 M","12,97%","-8,06%","-3.409,00 M","-27,99%","-7,78%","-4.734,00 M","16,34%","-7,55%","-4.069,00 M","1,93%","-7,81%","-3.992,00 M","11,17%","-7,26%","-3.591,00 M","-6,33%"
EBIT - (R$),"12.726,00 M","-36,03%","30,38%","19.894,00 M","20,58%","30,84%","16.499,00 M","16,12%","31,75%","14.208,00 M","-3,16%","29,75%","14.671,00 M","-21,63%","33,46%","18.720,00 M","22,82%","29,84%","15.242,00 M","-26,88%","29,27%","20.845,00 M","-41,31%","37,92%","35.519,00 M","62,62%"
Resultado não operacional - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Resultado Financeiro - (R$),"-2.179,00 M","49,48%","-5,20%","-4.313,00 M","-124,99%","-6,69%","-1.917,00 M","-168,49%","-3,69%","-714,00 M","74,26%","-1,50%","-2.774,00 M","19,36%","-6,33%","-3.440,00 M","-128,27%","-5,48%","12.167,00 M","202,14%","23,36%","4.027,00 M","392,66%","7,33%","-1.376,00 M","-2,43%"
Impostos - (R$),"-2.215,00 M","-36,33%","-5,29%","-3.479,00 M","464,77%","-5,39%","-616,00 M","-92,95%","-1,19%","-8.742,00 M","304,16%","-18,30%","-2.163,00 M","-149,37%","-4,93%","4.381,00 M","204,78%","6,98%","-4.181,00 M","-4,96%","-8,03%","-4.399,00 M","-59,96%","-8,00%","-10.986,00 M","-19,37%"
Lucro Líquido - (R$),"8.332,00 M","-31,15%","19,89%","12.102,00 M","-13,35%","18,76%","13.966,00 M","193,90%","26,88%","4.752,00 M","-51,18%","9,95%","9.734,00 M","-50,49%","22,20%","19.661,00 M","-15,36%","31,34%","23.228,00 M","-23,30%","44,60%","30.285,00 M","30,75%","55,09%","23.163,00 M","40,84%"
Lucro atribuído a Controladora,"8.291,00 M","-30,80%",-,"11.982,00 M","-13,57%",-,"13.864,00 M","203,17%",-,"4.573,00 M","-51,97%",-,"9.521,00 M","-51,32%",-,"19.559,00 M","-16,01%",-,"23.286,00 M","-22,47%",-,"30.033,00 M","30,32%",-,"23.046,00 M",-
Lucro atribuído a Não Controladores,"41,00 M","-65,83%",-,"120,00 M","17,65%",-,"102,00 M","-43,02%",-,"179,00 M","-15,96%",-,"213,00 M","108,82%",-,"102,00 M","275,86%",-,"-58,00 M","-123,02%",-,"252,00 M","115,38%",-,"117,00 M",-
CAPEX - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Dívida Bruta - (R$),"73.312,00 M","8,77%",-,"67.404,00 M","-4,10%",-,"70.289,00 M","4,65%",-,"67.165,00 M","1,82%",-,"65.964,00 M","-0,55%",-,"66.330,00 M","0,54%",-,"65.977,00 M","-0,10%",-,"66.042,00 M","-0,54%",-,"66.403,00 M",-
Dívida Líquida - (R$),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
ROE - (%),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
ROIC - (%),-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
Margem Bruta - (%),"36,52%","-22,56%",-,"47,16%","16,07%",-,"40,63%","5,45%",-,"38,53%","-6,75%",-,"41,32%","3,15%",-,"40,06%","9,60%",-,"36,55%","-21,50%",-,"46,56%","-18,86%",-,"57,38%",-
Margem Ebitda - (%),"38,83%","3,82%",-,"37,40%","-2,09%",-,"38,20%","-0,39%",-,"38,35%","-7,01%",-,"41,24%","12,13%",-,"36,78%","1,29%",-,"36,31%","-40,97%",-,"61,51%","-10,80%",-,"68,96%",-
Margem Líquida - (%),"19,89%","6,02%",-,"18,76%","-30,21%",-,"26,88%","170,15%",-,"9,95%","-55,18%",-,"22,20%","-29,16%",-,"31,34%","-29,73%",-,"44,60%","-19,04%",-,"55,09%","34,89%",-,"40,84%",-
Dívida Líquida/Ebitda,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-
